"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Proximidade_Costa(milhas)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora","onda","vento","chuva"
"108","03:00:00","Noturno","4.9166666666667","-1.7166666666667","Gana","Tug","Singapura","Fundeado","1","Área Portuária","ROUBO","1","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2018-09-07 00:00:00","2018-09-07 03:00:00","1.33625","3.8203125","6.7976674472447E-5"
"109","01:45:00","Noturno","4.9066666666667","1.7183333333333","Gana","Tug","Singapura","Fundeado","82","Águas Internacionais","ROUBO","5","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2018-02-02 00:00:00","2018-02-02 01:45:00","1.33","4.5","0"
"110","03:45:00","Noturno ","4.9033333333333","-1.7233333333333","Gana","Outros","Vanuatu","Fundeado","0.6","Área Portuária","ROUBO","7","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-05-06 00:00:00","2011-05-06 03:45:00","1.253","3.2099609375","0"
"111","02:30:00","Noturno","-4.9666666666667","1.7333333333333","Nigéria","Cargo Ship","China","Fundeado","680","Águas Internacionais","NCONSEGUIDO","","Desconhecido","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","2018-06-01 00:00:00","2018-06-01 02:30:00","2.22","8.4404296875","--"
"112","20:10:00","Noturno","5.1383333333333","2.2983333333333","Benin","Cargo Ship","IlhasMarshall","Navegar","73","Mar Territorial","NCONSEGUIDO","2","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2020-01-19 00:00:00","2020-01-19 20:10:00","0.93999999761581","3.330078125","0"
"113","14:30:00","Diurno","5.35","2.6166666666667","Benin","Outros","Gana","Navegar","60","Águas Internacionais","RAPTO","6","Machine Gun","0","0","0","1","6","0","0","0","0","1","1","1","0","0","0","0","0","2020-06-24 00:00:00","2020-06-24 14:30:00","1.3600000143051","5.2099609375","1.4719581359521E-5"
"114","00:43:00","Noturno","2.9833333333333","2.9166666666667","Nigéria","Oil Ship Transporter","Singapura","Navegar","205","Águas Internacionais","NCONSEGUIDO","","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2014-08-09 00:00:00","2014-08-09 00:43:00","1.45","7.4599609375","--"
"115","08:00:00","Diurno","4.3931666666667","2.0525","Benin","Oil Ship Transporter","IlhasMarshall","Navegar","118","Águas Internacionais","HOMICIDIO","6","Machine Gun","0","1","1","1","20","0","0","1","1","1","0","1","0","0","0","0","0","2019-12-15 00:00:00","2019-12-15 08:00:00","1.16","2.9697265625","3.0243826255504E-7"
"116","11:39:00","Diurno","5.2666666666667","2.0833333333333","Benin","Chemical Tanker","Itália","Fundeado","67","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-04-13 00:00:00","2011-04-13 11:39:00","1.2","4.4599609375","3.7018602095737E-6"
"117","01:00:00","Noturno","5.1385","2.1023333333333","Benin","Oil Ship Transporter","Libéria","Navegar","75","Águas Internacionais","RAPTO","","Desconhecido","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","2020-02-20 00:00:00","2020-02-20 01:00:00","0.93000000715256","5.0595703125","0"
"118","20:10:00","Noturno","5.1383333333333","2.2983333333333","Benin","Cargo Ship","IlhasMarshall","Navegar","73","Águas Internacionais","NCONSEGUIDO","2","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2020-05-19 00:00:00","2020-05-19 20:10:00","1.2300000190735","6.0595703125","0"
"119","12:45:00","Diurno","5.6015","2.3395","Benin","Oil Ship Transporter","Grécia","Navegar","45","Águas Internacionais","RAPTO","6","Desconhecido","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","2020-03-05 00:00:00","2020-03-05 12:45:00","1.1100000143051","4.919921875","0.00078384668294833"
"120","00:00:00","Noturno","5.4666666666667","2.35","Benin","Cargo Ship","Panamá","Navegar","55","Águas Internacionais","RAPTO","","Desconhecido","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","2019-01-02 00:00:00","2019-01-02 00:00:00","1.04","5.349609375","0"
"121","08:30:00","Diurno","5.9966666666667","2.3533333333333","Benin","Oil Ship Transporter","Malta","Navegar","21","Águas Internacionais","NCONSEGUIDO","5","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","2020-03-26 00:00:00","2020-03-26 08:30:00","0.9899999499321","2.490234375","0"
"122","01:30:00","Noturno ","6","2.3666666666667","Benin","Oil Ship Transporter","Panamá","Navegar","20","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2011-05-08 00:00:00","2011-05-08 01:30:00","1.41","3.0302734375","2.4531224258489E-6"
"123","22:30:00","Noturno ","6.26","2.3833333333333","Benin","Oil Ship Transporter","Bahamas","Fundeado","4","Mar Territorial","NCONSEGUIDO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-07-06 00:00:00","2011-07-06 22:30:00","1.54","5.990234375","0.00017839482461568"
"124","01:40:00","Noturno ","5.9893333333333","2.4018333333333","Benin","Oil Ship Transporter","Itália","Navegar","20","Águas Internacionais","HIJACK","6","Machine Gun","1","0","0","1","23","0","0","0","0","0","0","0","0","0","0","1","0","2011-07-24 00:00:00","2011-07-24 01:40:00","0.98","6","6.3185806012418E-6"
"125","16:40:00","Diurno","5.3783333333333","2.405","Benin","Oil Ship Transporter","IlhasMarshall","Navegar","67","Águas Internacionais","NCONSEGUIDO","","Desconhecido","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2016-06-06 00:00:00","2016-06-06 16:40:00","1.56","4.58984375","0"
"126","01:50:00","Noturno ","5.9666666666667","2.4333333333333","Benin","Chemical Tanker","Bahamas","Fundeado","25","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-07-31 00:00:00","2011-07-31 01:50:00","1.35","4.6298828125","0"
"127","02:00:00","Noturno ","6.15","2.4333333333333","Benin","Chemical Tanker","Malta","Navegar","12.5","Mar Territorial","SEQUESTRO","14","Machine Gun","1","1","2","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2011-03-03 00:00:00","2011-03-03 02:00:00","1.06","4.5595703125","0"
"128","02:00:00","Noturno ","6.265","2.445","Benin","Chemical Tanker","IlhasMarshall","Fundeado","6","Mar Territorial","ROUBO","6","Machine Gun","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-05-08 00:00:00","2011-05-08 02:00:00","1.2","3.41015625","2.4079638023977E-5"
