"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora"
"35","03:30:00","Noturno ","9.3666666666667","-13.783333333333","Guiné","Bulk Carrier","Panamá","Fundeado","","Mar Territorial","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-11-28 00:00:00","2010-11-28 03:30:00"
"36","23:45:00","Noturno ","5.9166666666667","3.2833333333333","Nigéria","Cargo Ship","Panamá","Navegar","","Águas Internacionais","ROUBO","8","Machine Gun/ Knives","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","1","0","2010-12-14 00:00:00","2010-12-14 23:45:00"
"37","03:04:00","Noturno ","6.01","3.5583333333333","Nigéria","Cargo Ship","Alemanha","Navegar","","Águas Internacionais","NCONSEGUIDO","7","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2010-12-15 00:00:00","2010-12-15 03:04:00"
"38","21:20:00","Noturno ","6.1283333333333","2.62","Nigéria","Chemical Tanker","Itália","Fundeado","","Águas Internacionais","HIJACK","15","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2010-12-24 00:00:00","2010-12-24 21:20:00"
"39","19:10:00","Noturno ","6.2666666666667","3.3833333333333","Nigéria","Chemical Tanker","Bélgica","Fundeado","","Mar Territorial","ROUBO","25","Machine Gun","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","1","0","2011-01-09 00:00:00","2011-01-09 19:10:00"
"40","22:00:00","Noturno ","6.3","3.35","Nigéria","Bulk Carrier","SãoCristóvão&Neves","Fundeado","","Mar Territorial","ROUBO","12","Machine Gun/ Knives","0","0","0","0","0","1","27","0","0","0","0","0","0","0","0","1","0","2011-01-10 00:00:00","2011-01-10 22:00:00"
"41","04:25:00","Noturno ","5.2333333333333","-4","Costa do Marfim","Tanker","Singapura","Fundeado","","Mar Territorial","ROUBO","1","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2011-01-16 00:00:00","2011-01-16 04:25:00"
"42","03:20:00","Noturno ","9.5206666666667","-13.708333333333","Guiné","Cargo Ship","Panamá","Fundeado","","Área Portuária","ROUBO","4","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","2011-01-23 00:00:00","2011-01-23 03:20:00"
"43","07:20:00","Diurno","4.1933333333333","6.9716666666667","Nigéria","Tanker","Singapura","Navegar","","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-01-27 00:00:00","2011-01-27 07:20:00"
"44","23:45:00","Noturno ","5.5316666666667","3.09","Nigéria","Chemical Tanker","Libéria","Navegar","","Águas Internacionais","NCONSEGUIDO","8","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2011-02-09 00:00:00","2011-02-09 23:45:00"
"45","17:30:00","Diurno","6.3116666666667","3.4166666666667","Nigéria","Chemical Tanker","França","Fundeado","","Mar Territorial","NCONSEGUIDO","3","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2011-03-03 00:00:00","2011-03-03 17:30:00"
"46","02:00:00","Noturno ","6.15","2.4333333333333","Benin","Chemical Tanker","Malta","Navegar","","Mar Territorial","ROUBO/SEQUESTRO","14","Machine Gun","1","1","2","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2011-03-03 00:00:00","2011-03-03 02:00:00"
"47","15:00:00","Diurno","4.4836666666667","8.367","Nigéria","Product tanker","Singapura","Navegar","","Área Portuária","NCONSEGUIDO","29","Machine Gun","0","0","0","0","0","0","0","","","1","1","0","0","0","1","0","0","2011-03-03 00:00:00","2011-03-03 15:00:00"
"48","11:39:00","Diurno","5.2666666666667","2.0833333333333","Benin","Chemical Tanker","Itália","Fundeado","","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-04-13 00:00:00","2011-04-13 11:39:00"
"49","19:10:00","Diurno","5.01","3.7383333333333","Nigéria","Bulk Carrier","IlhasMarshall","Navegar","","Águas Internacionais","NCONSEGUIDO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2011-04-20 00:00:00","2011-04-20 19:10:00"
"50","22:55:00","Noturno ","6.1","2.6166666666667","Benin","Tanker","Libéria","Fundeado","","Águas Internacionais","NCONSEGUIDO","7","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-04-29 00:00:00","2011-04-29 22:55:00"
"51","03:45:00","Noturno ","4.9033333333333","-1.7233333333333","Gana","Support Vessel","Vanuatu","Fundeado","","Área Portuária","ROUBO","7","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-05-06 00:00:00","2011-05-06 03:45:00"
"52","02:00:00","Noturno ","6.265","2.445","Benin","Chemical Tanker","IlhasMarshall","Fundeado","","Mar Territorial","ROUBO","6","Machine Gun","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-05-08 00:00:00","2011-05-08 02:00:00"
"53","01:30:00","Noturno ","6","2.3666666666667","Benin","Tanker","Panamá","Navegar","","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2011-05-08 00:00:00","2011-05-08 01:30:00"
"54","01:35:00","Noturno ","4.9183333333333","-1.7016666666667","Gana","Tug","Reino Unido","Fundeado","","Área Portuária","ROUBO","2","Knives","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","2011-05-12 00:00:00","2011-05-12 01:35:00"
"55","22:30:00","Noturno ","-5.8666666666667","13.083333333333","República Dem. Congo","Cargo Ship","Antigua&Barbuda","Fundeado","","Área Portuária","ROUBO","4","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2011-05-17 00:00:00","2011-05-17 22:30:00"
"56","02:31:00","Noturno ","9.424","-13.740666666667","Guiné","Cargo Ship","Libéria","Fundeado","","Mar Territorial","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-05-23 00:00:00","2011-05-23 02:31:00"
"57","03:45:00","Noturno ","-5.8666666666667","13.016666666667","República Dem. Congo","Bulk Carrier","Libéria","Fundeado","","Área Portuária","ROUBO","2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011-05-29 00:00:00","2011-05-29 03:45:00"
"58","17:20:00","Diurno","6.2833333333333","2.5166666666667","Benin","Chemical Tanker","Libéria","Fundeado","","Mar Territorial","HIJACK/ROUBO","6","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2011-06-08 00:00:00","2011-06-08 17:20:00"
"59","02:10:00","Noturno ","-5.865","13.041666666667","Angola","Bulk Carrier","Libéria","Fundeado","","Área Portuária","ROUBO","1","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2011-06-18 00:00:00","2011-06-18 02:10:00"
"60","23:30:00","Noturno ","6.1431666666667","2.471","Benin","Tanker","Grécia","Navegar","","Mar Territorial","ROUBO","4","","0","0","0","1","2","1","2","0","0","1","0","0","0","1","0","1","0","2011-06-23 00:00:00","2011-06-23 23:30:00"
"61","04:31:00","Noturno ","-5.8666666666667","13.411666666667","República Dem. Congo","Refrigerator cargo","Libéria","Fundeado","","Área Portuária","ROUBO","","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2011-06-23 00:00:00","2011-06-23 04:31:00"
"62","01:50:00","Noturno ","6.265","2.5566666666667","Benin","Tanker","IlhasMarshall","Fundeado","","Mar Territorial","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2011-06-24 00:00:00","2011-06-24 01:50:00"
